Nom;Prenom;Matricule;Annee;Mois;Debut;Fin;Code;Libelle;Montant;Type;Emploi;Grade;Temps.de.travail;Indice;Statut;Categorie
YYY;XXX;010463;2009;1;;;305A;I.E.M.P.;76,22;I;ATSEM 1ERE CLASSE;ATSEM 1ERE CLASSE;100;300;TITULAIRE;
YYY;XXX;010463;2009;2;;;305A;I.E.M.P.;76,22;I;ATSEM 1ERE CLASSE;ATSEM 1ERE CLASSE;100;300;TITULAIRE;
YYY;XXX;010463;2009;3;;;305A;I.E.M.P.;76,22;I;ATSEM 1ERE CLASSE;ATSEM 1ERE CLASSE;100;300;TITULAIRE;
YYY;XXX;010463;2009;4;;;305A;I.E.M.P.;76,22;I;ATSEM 1ERE CLASSE;ATSEM 1ERE CLASSE;100;300;TITULAIRE;
YYY;XXX;010463;2009;5;;;305A;I.E.M.P.;76,22;I;ATSEM 1ERE CLASSE;ATSEM 1ERE CLASSE;100;308;TITULAIRE;
YYY;XXX;010463;2009;6;;;305A;I.E.M.P.;76,22;I;ATSEM 1ERE CLASSE;ATSEM 1ERE CLASSE;100;308;TITULAIRE;
YYY;XXX;010463;2009;7;;;305A;I.E.M.P.;76,22;I;ATSEM 1ERE CLASSE;ATSEM 1ERE CLASSE;100;308;TITULAIRE;
YYY;XXX;010463;2009;8;;;305A;I.E.M.P.;76,22;I;ATSEM 1ERE CLASSE;ATSEM 1ERE CLASSE;100;308;TITULAIRE;
YYY;XXX;010463;2009;9;;;305A;I.E.M.P.;76,22;I;ATSEM 1ERE CLASSE;ATSEM 1ERE CLASSE;100;308;TITULAIRE;
YYY;XXX;010463;2009;10;;;305A;I.E.M.P.;76,22;I;ATSEM 1ERE CLASSE;ATSEM 1ERE CLASSE;100;308;TITULAIRE;
YYY;XXX;010463;2009;11;;;305A;I.E.M.P.;76,22;I;ATSEM 1ERE CLASSE;ATSEM 1ERE CLASSE;100;308;TITULAIRE;
YYY;XXX;010463;2009;12;;;305A;I.E.M.P.;76,22;I;ATSEM 1ERE CLASSE;ATSEM 1ERE CLASSE;100;308;TITULAIRE;
