Nom;Prenom;Matricule;Annee;Mois;Debut;Fin;Code;Libelle;Montant;Type;Emploi;Grade;Temps.de.travail;Indice;Statut;Categorie
YYY;XXX;010826;2009;1;;;305A;I.E.M.P.;35,93;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;47,14;290;NON_TITULAIRE;C
YYY;XXX;010826;2009;2;;;305A;I.E.M.P.;35,93;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;47,14;290;NON_TITULAIRE;C
YYY;XXX;010826;2009;3;;;305A;I.E.M.P.;35,93;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;47,14;290;NON_TITULAIRE;C
YYY;XXX;010826;2009;4;;;305A;I.E.M.P.;35,93;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;47,14;290;NON_TITULAIRE;C
YYY;XXX;010826;2009;5;;;305A;I.E.M.P.;35,93;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;47,14;290;NON_TITULAIRE;C
YYY;XXX;010826;2009;6;;;305A;I.E.M.P.;35,93;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;47,14;290;NON_TITULAIRE;C
YYY;XXX;010826;2009;7;;;305A;I.E.M.P.;35,93;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;47,14;292;NON_TITULAIRE;C
YYY;XXX;010826;2009;8;;;305A;I.E.M.P.;35,93;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;47,14;292;NON_TITULAIRE;C
YYY;XXX;011105;2012;9;;;305A;I.E.M.P.;133,94;I;"";"";80;;NON_TITULAIRE;
YYY;XXX;011105;2012;10;;;305A;I.E.M.P.;133,94;I;"";"";80;;NON_TITULAIRE;
YYY;XXX;015515;2009;1;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;290;NON_TITULAIRE;C
YYY;XXX;015515;2009;2;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;290;NON_TITULAIRE;C
YYY;XXX;015515;2009;3;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;290;NON_TITULAIRE;C
YYY;XXX;015515;2009;4;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;290;NON_TITULAIRE;C
YYY;XXX;015515;2009;5;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;290;NON_TITULAIRE;C
YYY;XXX;015515;2009;6;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;290;NON_TITULAIRE;C
YYY;XXX;015515;2009;7;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;294;NON_TITULAIRE;C
YYY;XXX;015515;2009;8;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;294;NON_TITULAIRE;C
YYY;XXX;015515;2009;9;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;294;NON_TITULAIRE;C
YYY;XXX;015515;2009;10;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;294;NON_TITULAIRE;C
YYY;XXX;015515;2009;11;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;294;NON_TITULAIRE;C
YYY;XXX;015515;2009;12;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;294;NON_TITULAIRE;C
YYY;XXX;015515;2010;1;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;294;NON_TITULAIRE;C
YYY;XXX;015515;2010;2;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;294;NON_TITULAIRE;C
YYY;XXX;015515;2010;3;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;294;NON_TITULAIRE;C
YYY;XXX;015515;2010;4;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;294;NON_TITULAIRE;C
YYY;XXX;015515;2010;5;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;294;NON_TITULAIRE;C
YYY;XXX;015515;2010;6;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;294;NON_TITULAIRE;C
YYY;XXX;015515;2010;8;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;295;NON_TITULAIRE;C
YYY;XXX;015515;2010;8;;2010-07-31;305A;I.E.M.P.;76,22;R;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;295;NON_TITULAIRE;C
YYY;XXX;015515;2010;9;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;295;NON_TITULAIRE;C
YYY;XXX;015515;2010;10;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;295;NON_TITULAIRE;C
YYY;XXX;015515;2010;11;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;295;NON_TITULAIRE;C
YYY;XXX;015515;2010;12;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;295;NON_TITULAIRE;C
YYY;XXX;015515;2011;1;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;295;NON_TITULAIRE;C
YYY;XXX;015515;2011;2;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;298;NON_TITULAIRE;C
YYY;XXX;015515;2011;3;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;298;NON_TITULAIRE;C
YYY;XXX;015515;2011;4;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;298;NON_TITULAIRE;C
YYY;XXX;015515;2011;5;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;298;NON_TITULAIRE;C
YYY;XXX;015515;2011;6;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;298;NON_TITULAIRE;C
YYY;XXX;015515;2011;7;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;298;NON_TITULAIRE;C
YYY;XXX;015515;2011;8;;;305A;I.E.M.P.;68,6;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;298;NON_TITULAIRE;C
YYY;XXX;015515;2011;9;;;305A;I.E.M.P.;76,22;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;298;NON_TITULAIRE;C
YYY;XXX;015515;2011;10;;;305A;I.E.M.P.;30,49;I;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;100;298;NON_TITULAIRE;C
YYY;XXX;015574;2009;1;;;305A;I.E.M.P.;95,28;I;ADJOINT ADMINIST. 2 CL;ADJOINT ADMINIST. 2 CL;100;290;NON_TITULAIRE;C
YYY;XXX;015574;2009;2;;;305A;I.E.M.P.;95,28;I;ADJOINT ADMINIST. 2 CL;ADJOINT ADMINIST. 2 CL;100;290;NON_TITULAIRE;C
YYY;XXX;015574;2009;3;;;305A;I.E.M.P.;95,28;I;ADJOINT ADMINIST. 2 CL;ADJOINT ADMINIST. 2 CL;100;290;NON_TITULAIRE;C
YYY;XXX;015574;2009;4;;;305A;I.E.M.P.;95,28;I;ADJOINT ADMINIST. 2 CL;ADJOINT ADMINIST. 2 CL;100;290;NON_TITULAIRE;C
YYY;XXX;015574;2009;5;;;305A;I.E.M.P.;95,28;I;ADJOINT ADMINIST. 2 CL;ADJOINT ADMINIST. 2 CL;100;290;NON_TITULAIRE;C
YYY;XXX;015574;2009;6;;;305A;I.E.M.P.;95,28;I;ADJOINT ADMINIST. 2 CL;ADJOINT ADMINIST. 2 CL;100;290;NON_TITULAIRE;C
YYY;XXX;015574;2009;7;;;305A;I.E.M.P.;95,28;I;ADJOINT ADMINIST. 2 CL;ADJOINT ADMINIST. 2 CL;100;292;NON_TITULAIRE;C
YYY;XXX;015574;2009;8;;;305A;I.E.M.P.;95,28;I;ADJOINT ADMINIST. 2 CL;ADJOINT ADMINIST. 2 CL;100;292;NON_TITULAIRE;C
YYY;XXX;015574;2009;9;;;305A;I.E.M.P.;95,28;I;ADJOINT ADMINIST. 2 CL;ADJOINT ADMINIST. 2 CL;100;292;NON_TITULAIRE;C
