Matricule;Nom;Prenom;Grade;Statut;Code;Libelle;Annee;Mois;Montant
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2009;1;376,62
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2009;2;376,62
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2009;3;376,62
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2009;4;376,62
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2009;5;376,62
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2009;6;376,62
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2009;7;378,5
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2009;8;378,5
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2009;9;378,5
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2009;10;379,63
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2009;11;379,63
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2009;12;379,63
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2010;1;379,63
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2010;2;379,63
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2010;3;379,63
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2010;4;379,63
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2010;5;379,63
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2010;6;379,63
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2010;7;381,53
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2010;8;381,53
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2010;9;381,53
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2010;10;381,53
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2010;11;381,53
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2010;12;381,53
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2011;1;381,53
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2011;2;381,53
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2011;3;381,53
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2011;4;381,53
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2011;5;381,53
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2011;6;381,53
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2011;7;381,53
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2011;8;381,53
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2011;9;381,53
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2011;10;381,53
012050;YYY;XXX;INGENIEUR PRINCIPAL;TITULAIRE;4290;PRIME FONCTION INFORMATIQUE;2011;11;381,53
